"month_no"	"cases"	"admin1_name"	"admin1_code"	"dep_short"	"pop_2016_DANE"	"month_num"	"month_name"	"year"	"inc_rate"
"1"	1	0	"Bolívar"	13	"BOL"	2122021	4	"Apr"	2014	0
"2"	1	0	"Norte de Santander"	54	"NDS"	1367716	4	"Apr"	2014	0
"3"	1	0	"Vaupés"	97	"VAU"	44079	4	"Apr"	2014	0
"4"	1	0	"Nariño"	52	"NAR"	1766008	4	"Apr"	2014	0
"5"	1	0	"Magdalena"	47	"MAG"	1272278	4	"Apr"	2014	0
"6"	1	0	"Amazonas"	91	"AMA"	77088	4	"Apr"	2014	0
"7"	1	0	"San Andrés"	88	"SAA"	77101	4	"Apr"	2014	0
"8"	1	0	"Chocó"	27	"CHO"	505046	4	"Apr"	2014	0
"9"	1	0	"Casanare"	85	"CAS"	362698	4	"Apr"	2014	0
"10"	1	0	"Cesar"	20	"CES"	1041203	4	"Apr"	2014	0
"11"	1	0	"Tolima"	73	"TOL"	1412230	4	"Apr"	2014	0
"12"	1	0	"Cauca"	19	"CAU"	1391889	4	"Apr"	2014	0
"13"	1	0	"Caldas"	17	"CAL"	989942	4	"Apr"	2014	0
"14"	1	0	"Risaralda"	66	"RIS"	957250	4	"Apr"	2014	0
"15"	1	0	"Antioquia"	5	"ANQ"	6534764	4	"Apr"	2014	0
"16"	1	0	"Vichada"	99	"VIC"	73702	4	"Apr"	2014	0
"17"	1	0	"Huila"	41	"HUI"	1168910	4	"Apr"	2014	0
"18"	1	0	"Guaviare"	95	"GUV"	112621	4	"Apr"	2014	0
"19"	1	0	"La Guajira"	44	"LAG"	985498	4	"Apr"	2014	0
"20"	1	0	"Valle del Cauca"	76	"VDC"	4660438	4	"Apr"	2014	0
"21"	1	0	"Atlántico"	8	"ANT"	2489709	4	"Apr"	2014	0
"22"	1	0	"Cundinamarca"	25	"CUN"	2721368	4	"Apr"	2014	0
"23"	1	0	"Arauca"	81	"ARA"	265190	4	"Apr"	2014	0
"24"	1	0	"Quindío"	63	"QUI"	568473	4	"Apr"	2014	0
"25"	1	0	"Sucre"	70	"SUC"	859909	4	"Apr"	2014	0
"26"	1	0	"Boyacá"	15	"BOY"	1278061	4	"Apr"	2014	0
"27"	1	0	"Guainía"	94	"GUA"	42123	4	"Apr"	2014	0
"28"	1	0	"Meta"	50	"MET"	979683	4	"Apr"	2014	0
"29"	1	0	"Córdoba"	23	"COR"	1736218	4	"Apr"	2014	0
"30"	1	0	"Putumayo"	86	"PUT"	349537	4	"Apr"	2014	0
"31"	1	0	"Santander"	68	"SAN"	2071044	4	"Apr"	2014	0
"32"	1	0	"Caquetá"	18	"CAQ"	483834	4	"Apr"	2014	0
"33"	2	0	"Bolívar"	13	"BOL"	2122021	5	"May"	2014	0
"34"	2	0	"Norte de Santander"	54	"NDS"	1367716	5	"May"	2014	0
"35"	2	0	"Vaupés"	97	"VAU"	44079	5	"May"	2014	0
"36"	2	0	"Nariño"	52	"NAR"	1766008	5	"May"	2014	0
"37"	2	0	"Magdalena"	47	"MAG"	1272278	5	"May"	2014	0
"38"	2	0	"Amazonas"	91	"AMA"	77088	5	"May"	2014	0
"39"	2	0	"San Andrés"	88	"SAA"	77101	5	"May"	2014	0
"40"	2	0	"Chocó"	27	"CHO"	505046	5	"May"	2014	0
"41"	2	0	"Casanare"	85	"CAS"	362698	5	"May"	2014	0
"42"	2	0	"Cesar"	20	"CES"	1041203	5	"May"	2014	0
"43"	2	0	"Tolima"	73	"TOL"	1412230	5	"May"	2014	0
"44"	2	0	"Cauca"	19	"CAU"	1391889	5	"May"	2014	0
"45"	2	0	"Caldas"	17	"CAL"	989942	5	"May"	2014	0
"46"	2	0	"Risaralda"	66	"RIS"	957250	5	"May"	2014	0
"47"	2	0	"Antioquia"	5	"ANQ"	6534764	5	"May"	2014	0
"48"	2	0	"Vichada"	99	"VIC"	73702	5	"May"	2014	0
"49"	2	0	"Huila"	41	"HUI"	1168910	5	"May"	2014	0
"50"	2	0	"Guaviare"	95	"GUV"	112621	5	"May"	2014	0
"51"	2	0	"La Guajira"	44	"LAG"	985498	5	"May"	2014	0
"52"	2	0	"Valle del Cauca"	76	"VDC"	4660438	5	"May"	2014	0
"53"	2	0	"Atlántico"	8	"ANT"	2489709	5	"May"	2014	0
"54"	2	0	"Cundinamarca"	25	"CUN"	2721368	5	"May"	2014	0
"55"	2	0	"Arauca"	81	"ARA"	265190	5	"May"	2014	0
"56"	2	0	"Quindío"	63	"QUI"	568473	5	"May"	2014	0
"57"	2	0	"Sucre"	70	"SUC"	859909	5	"May"	2014	0
"58"	2	0	"Boyacá"	15	"BOY"	1278061	5	"May"	2014	0
"59"	2	0	"Guainía"	94	"GUA"	42123	5	"May"	2014	0
"60"	2	0	"Meta"	50	"MET"	979683	5	"May"	2014	0
"61"	2	0	"Córdoba"	23	"COR"	1736218	5	"May"	2014	0
"62"	2	0	"Putumayo"	86	"PUT"	349537	5	"May"	2014	0
"63"	2	0	"Santander"	68	"SAN"	2071044	5	"May"	2014	0
"64"	2	0	"Caquetá"	18	"CAQ"	483834	5	"May"	2014	0
"65"	3	0	"Bolívar"	13	"BOL"	2122021	6	"Jun"	2014	0
"66"	3	0	"Norte de Santander"	54	"NDS"	1367716	6	"Jun"	2014	0
"67"	3	0	"Vaupés"	97	"VAU"	44079	6	"Jun"	2014	0
"68"	3	0	"Nariño"	52	"NAR"	1766008	6	"Jun"	2014	0
"69"	3	0	"Magdalena"	47	"MAG"	1272278	6	"Jun"	2014	0
"70"	3	0	"Amazonas"	91	"AMA"	77088	6	"Jun"	2014	0
"71"	3	0	"San Andrés"	88	"SAA"	77101	6	"Jun"	2014	0
"72"	3	0	"Chocó"	27	"CHO"	505046	6	"Jun"	2014	0
"73"	3	0	"Casanare"	85	"CAS"	362698	6	"Jun"	2014	0
"74"	3	0	"Cesar"	20	"CES"	1041203	6	"Jun"	2014	0
"75"	3	0	"Tolima"	73	"TOL"	1412230	6	"Jun"	2014	0
"76"	3	0	"Cauca"	19	"CAU"	1391889	6	"Jun"	2014	0
"77"	3	0	"Caldas"	17	"CAL"	989942	6	"Jun"	2014	0
"78"	3	0	"Risaralda"	66	"RIS"	957250	6	"Jun"	2014	0
"79"	3	2	"Antioquia"	5	"ANQ"	6534764	6	"Jun"	2014	0.0306055429086651
"80"	3	0	"Vichada"	99	"VIC"	73702	6	"Jun"	2014	0
"81"	3	0	"Huila"	41	"HUI"	1168910	6	"Jun"	2014	0
"82"	3	0	"Guaviare"	95	"GUV"	112621	6	"Jun"	2014	0
"83"	3	0	"La Guajira"	44	"LAG"	985498	6	"Jun"	2014	0
"84"	3	0	"Valle del Cauca"	76	"VDC"	4660438	6	"Jun"	2014	0
"85"	3	0	"Atlántico"	8	"ANT"	2489709	6	"Jun"	2014	0
"86"	3	0	"Cundinamarca"	25	"CUN"	2721368	6	"Jun"	2014	0
"87"	3	0	"Arauca"	81	"ARA"	265190	6	"Jun"	2014	0
"88"	3	0	"Quindío"	63	"QUI"	568473	6	"Jun"	2014	0
"89"	3	0	"Sucre"	70	"SUC"	859909	6	"Jun"	2014	0
"90"	3	0	"Boyacá"	15	"BOY"	1278061	6	"Jun"	2014	0
"91"	3	0	"Guainía"	94	"GUA"	42123	6	"Jun"	2014	0
"92"	3	0	"Meta"	50	"MET"	979683	6	"Jun"	2014	0
"93"	3	51	"Córdoba"	23	"COR"	1736218	6	"Jun"	2014	2.93741914897784
"94"	3	0	"Putumayo"	86	"PUT"	349537	6	"Jun"	2014	0
"95"	3	0	"Santander"	68	"SAN"	2071044	6	"Jun"	2014	0
"96"	3	0	"Caquetá"	18	"CAQ"	483834	6	"Jun"	2014	0
"97"	4	0	"Vaupés"	97	"VAU"	44079	7	"Jul"	2014	0
"98"	4	0	"Tolima"	73	"TOL"	1412230	7	"Jul"	2014	0
"99"	4	0	"Vichada"	99	"VIC"	73702	7	"Jul"	2014	0
"100"	4	0	"Antioquia"	5	"ANQ"	6534764	7	"Jul"	2014	0
"101"	4	0	"San Andrés"	88	"SAA"	77101	7	"Jul"	2014	0
"102"	4	0	"Guainía"	94	"GUA"	42123	7	"Jul"	2014	0
"103"	4	0	"Valle del Cauca"	76	"VDC"	4660438	7	"Jul"	2014	0
"104"	4	0	"Amazonas"	91	"AMA"	77088	7	"Jul"	2014	0
"105"	4	0	"Arauca"	81	"ARA"	265190	7	"Jul"	2014	0
"106"	4	0	"Atlántico"	8	"ANT"	2489709	7	"Jul"	2014	0
"107"	4	0	"Bolívar"	13	"BOL"	2122021	7	"Jul"	2014	0
"108"	4	0	"Norte de Santander"	54	"NDS"	1367716	7	"Jul"	2014	0
"109"	4	0	"Quindío"	63	"QUI"	568473	7	"Jul"	2014	0
"110"	4	0	"Guaviare"	95	"GUV"	112621	7	"Jul"	2014	0
"111"	4	0	"Magdalena"	47	"MAG"	1272278	7	"Jul"	2014	0
"112"	4	0	"La Guajira"	44	"LAG"	985498	7	"Jul"	2014	0
"113"	4	0	"Córdoba"	23	"COR"	1736218	7	"Jul"	2014	0
"114"	4	0	"Casanare"	85	"CAS"	362698	7	"Jul"	2014	0
"115"	4	158	"Cundinamarca"	25	"CUN"	2721368	7	"Jul"	2014	5.80590350147426
"116"	4	0	"Cesar"	20	"CES"	1041203	7	"Jul"	2014	0
"117"	4	0	"Boyacá"	15	"BOY"	1278061	7	"Jul"	2014	0
"118"	4	0	"Sucre"	70	"SUC"	859909	7	"Jul"	2014	0
"119"	4	0	"Caldas"	17	"CAL"	989942	7	"Jul"	2014	0
"120"	4	0	"Risaralda"	66	"RIS"	957250	7	"Jul"	2014	0
"121"	4	0	"Nariño"	52	"NAR"	1766008	7	"Jul"	2014	0
"122"	4	0	"Santander"	68	"SAN"	2071044	7	"Jul"	2014	0
"123"	4	0	"Putumayo"	86	"PUT"	349537	7	"Jul"	2014	0
"124"	4	0	"Meta"	50	"MET"	979683	7	"Jul"	2014	0
"125"	4	0	"Huila"	41	"HUI"	1168910	7	"Jul"	2014	0
"126"	4	0	"Chocó"	27	"CHO"	505046	7	"Jul"	2014	0
"127"	4	0	"Cauca"	19	"CAU"	1391889	7	"Jul"	2014	0
"128"	4	0	"Caquetá"	18	"CAQ"	483834	7	"Jul"	2014	0
"129"	5	1	"Vichada"	99	"VIC"	73702	8	"Aug"	2014	1.35681528316735
"130"	5	0	"Norte de Santander"	54	"NDS"	1367716	8	"Aug"	2014	0
"131"	5	0	"Magdalena"	47	"MAG"	1272278	8	"Aug"	2014	0
"132"	5	0	"Cesar"	20	"CES"	1041203	8	"Aug"	2014	0
"133"	5	0	"Vaupés"	97	"VAU"	44079	8	"Aug"	2014	0
"134"	5	0	"Valle del Cauca"	76	"VDC"	4660438	8	"Aug"	2014	0
"135"	5	0	"Risaralda"	66	"RIS"	957250	8	"Aug"	2014	0
"136"	5	0	"Quindío"	63	"QUI"	568473	8	"Aug"	2014	0
"137"	5	0	"San Andrés"	88	"SAA"	77101	8	"Aug"	2014	0
"138"	5	0	"Antioquia"	5	"ANQ"	6534764	8	"Aug"	2014	0
"139"	5	0	"Meta"	50	"MET"	979683	8	"Aug"	2014	0
"140"	5	0	"La Guajira"	44	"LAG"	985498	8	"Aug"	2014	0
"141"	5	0	"Tolima"	73	"TOL"	1412230	8	"Aug"	2014	0
"142"	5	0	"Guainía"	94	"GUA"	42123	8	"Aug"	2014	0
"143"	5	0	"Cundinamarca"	25	"CUN"	2721368	8	"Aug"	2014	0
"144"	5	0	"Córdoba"	23	"COR"	1736218	8	"Aug"	2014	0
