"disease"	"admin1"	"week"	"year"	"cases"
"1"	"CHIKV"	23	23	2014	51
"2"	"CHIKV"	5	25	2014	2
"3"	"CHIKV"	25	30	2014	158
"4"	"CHIKV"	8	34	2014	1
"5"	"CHIKV"	99	34	2014	1
"6"	"CHIKV"	8	35	2014	1
"7"	"CHIKV"	8	36	2014	9
"8"	"CHIKV"	13	36	2014	16
"9"	"CHIKV"	8	37	2014	8
"10"	"CHIKV"	13	37	2014	175
"11"	"CHIKV"	76	37	2014	0
"12"	"CHIKV"	5	38	2014	2
"13"	"CHIKV"	8	38	2014	19
"14"	"CHIKV"	13	38	2014	3461
"15"	"CHIKV"	44	38	2014	0
"16"	"CHIKV"	50	38	2014	1
"17"	"CHIKV"	54	38	2014	3
"18"	"CHIKV"	91	38	2014	3
"19"	"CHIKV"	8	39	2014	141
"20"	"CHIKV"	13	39	2014	1352
"21"	"CHIKV"	15	39	2014	1
"22"	"CHIKV"	19	39	2014	0
"23"	"CHIKV"	44	39	2014	0
"24"	"CHIKV"	50	39	2014	0
"25"	"CHIKV"	54	39	2014	1
"26"	"CHIKV"	68	39	2014	6
"27"	"CHIKV"	70	39	2014	10
"28"	"CHIKV"	8	40	2014	153
"29"	"CHIKV"	13	40	2014	4279
"30"	"CHIKV"	19	40	2014	12
"31"	"CHIKV"	23	40	2014	1
"32"	"CHIKV"	25	40	2014	2
"33"	"CHIKV"	44	40	2014	0
"34"	"CHIKV"	47	40	2014	1
"35"	"CHIKV"	50	40	2014	0
"36"	"CHIKV"	54	40	2014	2
"37"	"CHIKV"	68	40	2014	0
"38"	"CHIKV"	70	40	2014	86
"39"	"CHIKV"	8	41	2014	41
"40"	"CHIKV"	13	41	2014	4286
"41"	"CHIKV"	19	41	2014	0
"42"	"CHIKV"	23	41	2014	1
"43"	"CHIKV"	25	41	2014	1
"44"	"CHIKV"	44	41	2014	3
"45"	"CHIKV"	50	41	2014	0
"46"	"CHIKV"	54	41	2014	4
"47"	"CHIKV"	68	41	2014	1
"48"	"CHIKV"	70	41	2014	41
"49"	"CHIKV"	73	41	2014	1
"50"	"CHIKV"	76	41	2014	1
"51"	"CHIKV"	86	41	2014	5
"52"	"CHIKV"	5	42	2014	1
"53"	"CHIKV"	8	42	2014	36
"54"	"CHIKV"	13	42	2014	3258
"55"	"CHIKV"	15	42	2014	8
"56"	"CHIKV"	17	42	2014	6
"57"	"CHIKV"	19	42	2014	2
"58"	"CHIKV"	20	42	2014	49
"59"	"CHIKV"	23	42	2014	65
"60"	"CHIKV"	44	42	2014	0
"61"	"CHIKV"	47	42	2014	8
"62"	"CHIKV"	50	42	2014	0
"63"	"CHIKV"	54	42	2014	4
"64"	"CHIKV"	68	42	2014	3
"65"	"CHIKV"	70	42	2014	309
"66"	"CHIKV"	85	42	2014	2
"67"	"CHIKV"	95	42	2014	1
"68"	"CHIKV"	8	43	2014	21
"69"	"CHIKV"	13	43	2014	732
"70"	"CHIKV"	19	43	2014	1
"71"	"CHIKV"	23	43	2014	31
"72"	"CHIKV"	25	43	2014	41
"73"	"CHIKV"	41	43	2014	10
"74"	"CHIKV"	44	43	2014	79
"75"	"CHIKV"	47	43	2014	55
"76"	"CHIKV"	50	43	2014	1
"77"	"CHIKV"	52	43	2014	1
"78"	"CHIKV"	54	43	2014	240
"79"	"CHIKV"	68	43	2014	5
"80"	"CHIKV"	70	43	2014	361
"81"	"CHIKV"	73	43	2014	1
"82"	"CHIKV"	76	43	2014	1
"83"	"CHIKV"	85	43	2014	1
"84"	"CHIKV"	86	43	2014	9
"85"	"CHIKV"	5	44	2014	1
"86"	"CHIKV"	8	44	2014	38
"87"	"CHIKV"	13	44	2014	550
"88"	"CHIKV"	19	44	2014	0
"89"	"CHIKV"	20	44	2014	13
"90"	"CHIKV"	25	44	2014	11
"91"	"CHIKV"	44	44	2014	11
