"admin2_code"	"first_report"
"23555"	"23555"	1
"05045"	"05045"	3
"25307"	"25307"	8
"08001"	"08001"	12
"99524"	"99524"	12
"13836"	"13836"	14
"13001"	"13001"	15
"05266"	"05266"	16
"13657"	"13657"	16
"50110"	"50110"	16
"54001"	"54001"	16
"08078"	"08078"	17
"08137"	"08137"	17
"08638"	"08638"	17
"08685"	"08685"	17
"08758"	"08758"	17
"08770"	"08770"	17
"13683"	"13683"	17
"68276"	"68276"	17
"70215"	"70215"	17
"08560"	"08560"	18
"13052"	"13052"	18
"13062"	"13062"	18
"13212"	"13212"	18
"13244"	"13244"	18
"13430"	"13430"	18
"13433"	"13433"	18
"13442"	"13442"	18
"13647"	"13647"	18
"13654"	"13654"	18
"19698"	"19698"	18
"23660"	"23660"	18
"25572"	"25572"	18
"47001"	"47001"	18
"70508"	"70508"	18
"70742"	"70742"	18
"13838"	"13838"	19
"23001"	"23001"	19
"25488"	"25488"	19
"44430"	"44430"	19
"70110"	"70110"	19
"70823"	"70823"	19
"73168"	"73168"	19
"76001"	"76001"	19
"86001"	"86001"	19
"86568"	"86568"	19
"15667"	"15667"	20
"17174"	"17174"	20
"20238"	"20238"	20
"23162"	"23162"	20
"23466"	"23466"	20
"23500"	"23500"	20
"47555"	"47555"	20
"68001"	"68001"	20
"70001"	"70001"	20
"70221"	"70221"	20
"70418"	"70418"	20
"70523"	"70523"	20
"85001"	"85001"	20
"85440"	"85440"	20
"95001"	"95001"	20
"13006"	"13006"	21
"23580"	"23580"	21
"23672"	"23672"	21
"23675"	"23675"	21
"23807"	"23807"	21
"25815"	"25815"	21
"41001"	"41001"	21
"41078"	"41078"	21
"41551"	"41551"	21
"44001"	"44001"	21
"44035"	"44035"	21
"44098"	"44098"	21
"44650"	"44650"	21
"44847"	"44847"	21
"47245"	"47245"	21
"47798"	"47798"	21
"52835"	"52835"	21
"68081"	"68081"	21
"68547"	"68547"	21
"70670"	"70670"	21
"70820"	"70820"	21
"73001"	"73001"	21
"20250"	"20250"	22
"25245"	"25245"	22
"50001"	"50001"	22
"52356"	"52356"	22
"66001"	"66001"	22
"66400"	"66400"	22
"68575"	"68575"	22
"70233"	"70233"	22
"73449"	"73449"	22
"81001"	"81001"	22
"86757"	"86757"	22
"86865"	"86865"	22
"88001"	"88001"	22
"41132"	"41132"	23
"47460"	"47460"	23
"54206"	"54206"	23
"63001"	"63001"	23
"70400"	"70400"	23
"70713"	"70713"	23
"73563"	"73563"	23
"76113"	"76113"	23
"76248"	"76248"	23
"76403"	"76403"	23
"76520"	"76520"	23
"19100"	"19100"	24
"70702"	"70702"	24
"76834"	"76834"	24
"76892"	"76892"	24
"08421"	"08421"	25
"54498"	"54498"	25
"54820"	"54820"	25
"73319"	"73319"	25
"17380"	"17380"	26
"20001"	"20001"	26
"20710"	"20710"	26
