"admin2"	"admin1_code"	"admin1_name"	"admin2_name"	"admin2_longitude"	"admin2_latitude"	"pop"
"1"	"05001"	5	"Antioquia"	"MEDELLIN"	-75.61147104	6.25773104	2486723
"2"	"05002"	5	"Antioquia"	"ABEJORRAL"	-75.43848469	5.803901243	19195
"3"	"05004"	5	"Antioquia"	"ABRIAQUI"	-76.08520261	6.625289368	2075
"4"	"05021"	5	"Antioquia"	"ALEJANDRIA"	-75.09016317	6.366462213	3435
"5"	"05030"	5	"Antioquia"	"AMAGA"	-75.70765528	6.032702809	29770
"6"	"05031"	5	"Antioquia"	"AMALFI"	-74.98064425	6.978345469	22253
"7"	"05034"	5	"Antioquia"	"ANDES"	-75.93703842	5.625301377	46221
"8"	"05036"	5	"Antioquia"	"ANGELOPOLIS"	-75.71622695	6.120709713	9082
"9"	"05038"	5	"Antioquia"	"ANGOSTURA"	-75.35527081	6.86517864	11240
"10"	"05040"	5	"Antioquia"	"ANORI"	-75.10848926	7.193211607	17304
"11"	"05042"	5	"Antioquia"	"ANTIOQUIA"	-75.90284178	6.533135379	24724
"12"	"05044"	5	"Antioquia"	"ANZA"	-75.9126589	6.308091356	7580
"13"	"05045"	5	"Antioquia"	"APARTADO"	-76.56774288	7.896307257	183716
"14"	"05051"	5	"Antioquia"	"ARBOLETES"	-76.41160381	8.609400821	41209
"15"	"05055"	5	"Antioquia"	"ARGELIA"	-75.09503273	5.708053317	8578
"16"	"05059"	5	"Antioquia"	"ARMENIA"	-75.80995708	6.163703509	4110
"17"	"05079"	5	"Antioquia"	"BARBOSA"	-75.32984495	6.442981167	50836
"18"	"05086"	5	"Antioquia"	"BELMIRA"	-75.65368749	6.654421727	6823
"19"	"05088"	5	"Antioquia"	"BELLO"	-75.58790966	6.35697925	464614
"20"	"05091"	5	"Antioquia"	"BETANIA"	-75.98596429	5.727880493	9188
"21"	"05093"	5	"Antioquia"	"BETULIA"	-75.95606605	6.184070669	17606
"22"	"05101"	5	"Antioquia"	"BOLIVAR"	-76.01088306	5.839450355	26957
"23"	"05107"	5	"Antioquia"	"BRICENO"	-75.563537	7.110873878	8692
"24"	"05113"	5	"Antioquia"	"BURITICA"	-75.91252582	6.809983406	6566
"25"	"05120"	5	"Antioquia"	"CACERES"	-75.22709582	7.670005297	38850
"26"	"05125"	5	"Antioquia"	"CAICEDO"	-75.99527969	6.4238874	8275
"27"	"05129"	5	"Antioquia"	"CALDAS"	-75.62663685	6.054013091	78756
"28"	"05134"	5	"Antioquia"	"CAMPAMENTO"	-75.28936645	7.03899275	9035
"29"	"05138"	5	"Antioquia"	"CAÑASGORDAS"	-76.02701281	6.814824731	16751
"30"	"05142"	5	"Antioquia"	"CARACOLI"	-74.73309605	6.337715772	4569
"31"	"05145"	5	"Antioquia"	"CARAMANTA"	-75.62976106	5.553821195	5340
"32"	"05147"	5	"Antioquia"	"CAREPA"	-76.65959636	7.788227858	57220
"33"	"05148"	5	"Antioquia"	"CARMEN DE VIBORAL"	-75.2632189	5.978104708	47340
"34"	"05150"	5	"Antioquia"	"CAROLINA"	-75.31659842	6.758439709	3583
"35"	"05154"	5	"Antioquia"	"CAUCASIA"	-75.03301243	7.865063972	114902
"36"	"05172"	5	"Antioquia"	"CHIGORODO"	-76.64297959	7.630134744	78148
"37"	"05190"	5	"Antioquia"	"CISNEROS"	-75.082056	6.55029944	8998
"38"	"05197"	5	"Antioquia"	"COCORNA"	-75.16242684	6.007592929	14964
"39"	"05206"	5	"Antioquia"	"CONCEPCION"	-75.21956968	6.384068536	3375
"40"	"05209"	5	"Antioquia"	"CONCORDIA"	-75.90093438	6.054072579	20565
"41"	"05212"	5	"Antioquia"	"COPACABANA"	-75.5011382	6.354265764	71035
"42"	"05234"	5	"Antioquia"	"DABEIBA"	-76.31125901	6.998207083	23280
"43"	"05237"	5	"Antioquia"	"DON MATIAS"	-75.36650622	6.505554284	22726
"44"	"05240"	5	"Antioquia"	"EBEJICO"	-75.78316585	6.326060555	12510
"45"	"05250"	5	"Antioquia"	"EL BAGRE"	-74.66382826	7.702299807	49913
"46"	"05264"	5	"Antioquia"	"ENTRERRIOS"	-75.55925295	6.594635675	10102
"47"	"05266"	5	"Antioquia"	"ENVIGADO"	-75.54619597	6.153381661	227644
"48"	"05282"	5	"Antioquia"	"FREDONIA"	-75.68160505	5.887339368	21426
"49"	"05284"	5	"Antioquia"	"FRONTINO"	-76.33049646	6.692331877	16311
"50"	"05306"	5	"Antioquia"	"GIRALDO"	-75.95171995	6.658060575	4009
"51"	"05308"	5	"Antioquia"	"GIRARDOTA"	-75.44810817	6.381370294	55490
"52"	"05310"	5	"Antioquia"	"GOMEZ PLATA"	-75.1928582	6.709653635	12964
"53"	"05313"	5	"Antioquia"	"GRANADA"	-75.12864855	6.125289285	9866
"54"	"05315"	5	"Antioquia"	"GUADALUPE"	-75.22487589	6.865678926	6306
"55"	"05318"	5	"Antioquia"	"GUARNE"	-75.43529369	6.269336918	48659
"56"	"05321"	5	"Antioquia"	"GUATAPE"	-75.15807252	6.252228909	5231
"57"	"05347"	5	"Antioquia"	"HELICONIA"	-75.74959539	6.214533442	5837
"58"	"05353"	5	"Antioquia"	"HISPANIA"	-75.90410164	5.795548841	4874
"59"	"05360"	5	"Antioquia"	"ITAGUI"	-75.61534101	6.179939866	270903
"60"	"05361"	5	"Antioquia"	"ITUANGO"	-75.89273876	7.262487526	20628
"61"	"05364"	5	"Antioquia"	"JARDIN"	-75.81874573	5.575017696	13673
"62"	"05368"	5	"Antioquia"	"JERICO"	-75.76478854	5.769810245	12016
"63"	"05376"	5	"Antioquia"	"LA CEJA"	-75.43090981	5.993198476	53361
"64"	"05380"	5	"Antioquia"	"LA ESTRELLA"	-75.64872553	6.138640365	63335
"65"	"05390"	5	"Antioquia"	"LA PINTADA"	-75.60228708	5.758082753	6507
"66"	"05400"	5	"Antioquia"	"LA UNION"	-75.35375876	5.940199769	19229
