"disease"	"admin1"	"week"	"year"	"cases"	"admin1_name"
"1"	"ZIKV"	54	32	2015	27	"Norte Santander"
"2"	"ZIKV"	76	32	2015	1	"Valle del Cauca"
"3"	"ZIKV"	88	32	2015	1	"San Andres"
"4"	"ZIKV"	54	33	2015	21	"Norte Santander"
"5"	"ZIKV"	85	33	2015	1	"Casanare"
"6"	"ZIKV"	86	33	2015	1	"Putumayo"
"7"	"ZIKV"	19	34	2015	1	"Cauca"
"8"	"ZIKV"	54	34	2015	11	"Norte Santander"
"9"	"ZIKV"	85	34	2015	1	"Casanare"
"10"	"ZIKV"	86	34	2015	1	"Putumayo"
"11"	"ZIKV"	41	35	2015	1	"Huila"
"12"	"ZIKV"	52	35	2015	1	"Narino"
"13"	"ZIKV"	54	35	2015	3	"Norte Santander"
"14"	"ZIKV"	85	35	2015	1	"Casanare"
"15"	"ZIKV"	86	35	2015	1	"Putumayo"
"16"	"ZIKV"	5	36	2015	1	"Antioquia"
"17"	"ZIKV"	8	36	2015	2	"Atlantico"
"18"	"ZIKV"	13	36	2015	1	"Bolivar"
"19"	"ZIKV"	23	36	2015	1	"Cordoba"
"20"	"ZIKV"	41	36	2015	1	"Huila"
"21"	"ZIKV"	54	36	2015	2	"Norte Santander"
"22"	"ZIKV"	70	36	2015	3	"Sucre"
"23"	"ZIKV"	88	36	2015	1	"San Andres"
"24"	"ZIKV"	5	37	2015	5	"Antioquia"
"25"	"ZIKV"	8	37	2015	1	"Atlantico"
"26"	"ZIKV"	13	37	2015	5	"Bolivar"
"27"	"ZIKV"	15	37	2015	4	"Boyaca"
"28"	"ZIKV"	54	37	2015	2	"Norte Santander"
"29"	"ZIKV"	70	37	2015	2	"Sucre"
"30"	"ZIKV"	88	37	2015	4	"San Andres"
"31"	"ZIKV"	5	38	2015	14	"Antioquia"
"32"	"ZIKV"	13	38	2015	9	"Bolivar"
"33"	"ZIKV"	15	38	2015	3	"Boyaca"
"34"	"ZIKV"	18	38	2015	1	"Caqueta"
"35"	"ZIKV"	41	38	2015	1	"Huila"
"36"	"ZIKV"	70	38	2015	1	"Sucre"
"37"	"ZIKV"	88	38	2015	3	"San Andres"
"38"	"ZIKV"	5	39	2015	8	"Antioquia"
"39"	"ZIKV"	8	39	2015	3	"Atlantico"
"40"	"ZIKV"	13	39	2015	67	"Bolivar"
"41"	"ZIKV"	15	39	2015	8	"Boyaca"
"42"	"ZIKV"	23	39	2015	1	"Cordoba"
"43"	"ZIKV"	50	39	2015	1	"Meta"
"44"	"ZIKV"	54	39	2015	2	"Norte Santander"
"45"	"ZIKV"	70	39	2015	2	"Sucre"
"46"	"ZIKV"	81	39	2015	1	"Arauca"
"47"	"ZIKV"	86	39	2015	2	"Putumayo"
"48"	"ZIKV"	88	39	2015	14	"San Andres"
"49"	"ZIKV"	5	40	2015	8	"Antioquia"
"50"	"ZIKV"	8	40	2015	4	"Atlantico"
"51"	"ZIKV"	13	40	2015	27	"Bolivar"
"52"	"ZIKV"	15	40	2015	6	"Boyaca"
"53"	"ZIKV"	44	40	2015	1	"Guajira"
"54"	"ZIKV"	47	40	2015	1	"Magdalena"
"55"	"ZIKV"	70	40	2015	5	"Sucre"
"56"	"ZIKV"	73	40	2015	1	"Tolima"
"57"	"ZIKV"	86	40	2015	2	"Putumayo"
"58"	"ZIKV"	88	40	2015	42	"San Andres"
"59"	"ZIKV"	5	41	2015	2	"Antioquia"
"60"	"ZIKV"	8	41	2015	10	"Atlantico"
"61"	"ZIKV"	13	41	2015	37	"Bolivar"
"62"	"ZIKV"	44	41	2015	1	"Guajira"
"63"	"ZIKV"	47	41	2015	2	"Magdalena"
"64"	"ZIKV"	50	41	2015	1	"Meta"
"65"	"ZIKV"	70	41	2015	4	"Sucre"
"66"	"ZIKV"	73	41	2015	1	"Tolima"
"67"	"ZIKV"	86	41	2015	1	"Putumayo"
"68"	"ZIKV"	88	41	2015	61	"San Andres"
"69"	"ZIKV"	95	41	2015	1	"Guaviare"
"70"	"ZIKV"	5	42	2015	10	"Antioquia"
"71"	"ZIKV"	8	42	2015	13	"Atlantico"
"72"	"ZIKV"	13	42	2015	141	"Bolivar"
"73"	"ZIKV"	15	42	2015	1	"Boyaca"
"74"	"ZIKV"	17	42	2015	2	"Caldas"
"75"	"ZIKV"	23	42	2015	4	"Cordoba"
"76"	"ZIKV"	25	42	2015	2	"Cundinamarca"
"77"	"ZIKV"	47	42	2015	8	"Magdalena"
"78"	"ZIKV"	54	42	2015	1	"Norte Santander"
"79"	"ZIKV"	66	42	2015	2	"Risaralda"
"80"	"ZIKV"	70	42	2015	14	"Sucre"
"81"	"ZIKV"	73	42	2015	1	"Tolima"
"82"	"ZIKV"	85	42	2015	2	"Casanare"
"83"	"ZIKV"	86	42	2015	1	"Putumayo"
"84"	"ZIKV"	88	42	2015	75	"San Andres"
"85"	"ZIKV"	5	43	2015	1	"Antioquia"
"86"	"ZIKV"	8	43	2015	26	"Atlantico"
"87"	"ZIKV"	13	43	2015	173	"Bolivar"
"88"	"ZIKV"	15	43	2015	1	"Boyaca"
"89"	"ZIKV"	20	43	2015	8	"Cesar"
"90"	"ZIKV"	23	43	2015	5	"Cordoba"
"91"	"ZIKV"	25	43	2015	21	"Cundinamarca"
"92"	"ZIKV"	41	43	2015	1	"Huila"
"93"	"ZIKV"	44	43	2015	8	"Guajira"
"94"	"ZIKV"	47	43	2015	22	"Magdalena"
"95"	"ZIKV"	52	43	2015	1	"Narino"
"96"	"ZIKV"	66	43	2015	3	"Risaralda"
"97"	"ZIKV"	70	43	2015	41	"Sucre"
"98"	"ZIKV"	73	43	2015	13	"Tolima"
"99"	"ZIKV"	85	43	2015	3	"Casanare"
"100"	"ZIKV"	86	43	2015	1	"Putumayo"
"101"	"ZIKV"	88	43	2015	40	"San Andres"
"102"	"ZIKV"	5	44	2015	1	"Antioquia"
"103"	"ZIKV"	8	44	2015	74	"Atlantico"
"104"	"ZIKV"	13	44	2015	143	"Bolivar"
"105"	"ZIKV"	15	44	2015	2	"Boyaca"
"106"	"ZIKV"	17	44	2015	12	"Caldas"
"107"	"ZIKV"	19	44	2015	1	"Cauca"
"108"	"ZIKV"	20	44	2015	13	"Cesar"
"109"	"ZIKV"	23	44	2015	11	"Cordoba"
"110"	"ZIKV"	25	44	2015	69	"Cundinamarca"
"111"	"ZIKV"	41	44	2015	3	"Huila"
"112"	"ZIKV"	44	44	2015	10	"Guajira"
"113"	"ZIKV"	47	44	2015	30	"Magdalena"
"114"	"ZIKV"	54	44	2015	8	"Norte Santander"
"115"	"ZIKV"	66	44	2015	5	"Risaralda"
"116"	"ZIKV"	70	44	2015	61	"Sucre"
"117"	"ZIKV"	73	44	2015	38	"Tolima"
"118"	"ZIKV"	85	44	2015	1	"Casanare"
"119"	"ZIKV"	86	44	2015	2	"Putumayo"
"120"	"ZIKV"	88	44	2015	95	"San Andres"
"121"	"ZIKV"	91	44	2015	1	"Amazonas"
"122"	"ZIKV"	5	45	2015	3	"Antioquia"
"123"	"ZIKV"	8	45	2015	105	"Atlantico"
"124"	"ZIKV"	13	45	2015	102	"Bolivar"
"125"	"ZIKV"	15	45	2015	3	"Boyaca"
"126"	"ZIKV"	17	45	2015	2	"Caldas"
"127"	"ZIKV"	18	45	2015	1	"Caqueta"
"128"	"ZIKV"	20	45	2015	9	"Cesar"
"129"	"ZIKV"	23	45	2015	38	"Cordoba"
"130"	"ZIKV"	25	45	2015	255	"Cundinamarca"
"131"	"ZIKV"	41	45	2015	12	"Huila"
