"admin2_code"	"first_report"
"54001"	"54001"	1
"54261"	"54261"	1
"54553"	"54553"	1
"76001"	"76001"	1
"88001"	"88001"	1
"54498"	"54498"	2
"85010"	"85010"	2
"86001"	"86001"	2
"54874"	"54874"	3
"85410"	"85410"	3
"85162"	"85162"	4
"86568"	"86568"	4
"05088"	"05088"	5
"08001"	"08001"	5
"13001"	"13001"	5
"23001"	"23001"	5
"41319"	"41319"	5
"70001"	"70001"	5
"05001"	"05001"	6
"13836"	"13836"	6
"15480"	"15480"	6
"70820"	"70820"	6
"05154"	"05154"	7
"05360"	"05360"	7
"41885"	"41885"	7
"15518"	"15518"	8
"15572"	"15572"	8
"50001"	"50001"	8
"81001"	"81001"	8
"13433"	"13433"	9
"44001"	"44001"	9
"47551"	"47551"	9
"70823"	"70823"	9
"73349"	"73349"	9
"08758"	"08758"	10
"50568"	"50568"	10
"73001"	"73001"	10
"95025"	"95025"	10
"08433"	"08433"	11
"13468"	"13468"	11
"25307"	"25307"	11
"47001"	"47001"	11
"47189"	"47189"	11
"47555"	"47555"	11
"85001"	"85001"	11
"86885"	"86885"	11
"08078"	"08078"	12
"08638"	"08638"	12
"13688"	"13688"	12
"20001"	"20001"	12
"20011"	"20011"	12
"41001"	"41001"	12
"66001"	"66001"	12
"70215"	"70215"	12
"70473"	"70473"	12
"73026"	"73026"	12
"73268"	"73268"	12
"73275"	"73275"	12
"85440"	"85440"	12
"86571"	"86571"	12
"08685"	"08685"	13
"08832"	"08832"	13
"13657"	"13657"	13
"17442"	"17442"	13
"19001"	"19001"	13
"25488"	"25488"	13
"25599"	"25599"	13
"25612"	"25612"	13
"41298"	"41298"	13
"54405"	"54405"	13
"66075"	"66075"	13
"66170"	"66170"	13
"70708"	"70708"	13
"73443"	"73443"	13
"73449"	"73449"	13
"73483"	"73483"	13
"08573"	"08573"	14
"17380"	"17380"	14
"18001"	"18001"	14
"20238"	"20238"	14
"23464"	"23464"	14
"25035"	"25035"	14
"41349"	"41349"	14
"41357"	"41357"	14
"44035"	"44035"	14
"47798"	"47798"	14
"50689"	"50689"	14
"54673"	"54673"	14
"54810"	"54810"	14
"68001"	"68001"	14
"68406"	"68406"	14
"70221"	"70221"	14
"70702"	"70702"	14
"70771"	"70771"	14
"73319"	"73319"	14
"73408"	"73408"	14
"73671"	"73671"	14
"05045"	"05045"	15
"05837"	"05837"	15
"23162"	"23162"	15
"23574"	"23574"	15
"23807"	"23807"	15
"25001"	"25001"	15
"25290"	"25290"	15
"25398"	"25398"	15
"25815"	"25815"	15
"25875"	"25875"	15
"41132"	"41132"	15
"44430"	"44430"	15
"54344"	"54344"	15
"54660"	"54660"	15
"70110"	"70110"	15
"70670"	"70670"	15
"73148"	"73148"	15
"08296"	"08296"	16
"23417"	"23417"	16
"25245"	"25245"	16
"25386"	"25386"	16
"25394"	"25394"	16
"25718"	"25718"	16
"25797"	"25797"	16
"41306"	"41306"	16
"47288"	"47288"	16
"47660"	"47660"	16
"54720"	"54720"	16
"66400"	"66400"	16
"73168"	"73168"	16
"81736"	"81736"	16
"95001"	"95001"	16
"05579"	"05579"	17
"13042"	"13042"	17
"13430"	"13430"	17
"18256"	"18256"	17
"23466"	"23466"	17
"23555"	"23555"	17
"23670"	"23670"	17
"41206"	"41206"	17
"44650"	"44650"	17
"47053"	"47053"	17
"47245"	"47245"	17
"47960"	"47960"	17
"47980"	"47980"	17
"54680"	"54680"	17
"68547"	"68547"	17
"68669"	"68669"	17
"73217"	"73217"	17
"73585"	"73585"	17
"81065"	"81065"	17
"08634"	"08634"	18
"13188"	"13188"	18
"20614"	"20614"	18
"23350"	"23350"	18
"23686"	"23686"	18
"47030"	"47030"	18
"47745"	"47745"	18
"50606"	"50606"	18
"54051"	"54051"	18
"54099"	"54099"	18
"68276"	"68276"	18
"76622"	"76622"	18
"76834"	"76834"	18
"05147"	"05147"	19
"23068"	"23068"	19
"23090"	"23090"	19
"23675"	"23675"	19
"41016"	"41016"	19
"44279"	"44279"	19
"63001"	"63001"	19
"85430"	"85430"	19
"19573"	"19573"	20
"25320"	"25320"	20
"41020"	"41020"	20
"41524"	"41524"	20
"54172"	"54172"	20
"54250"	"54250"	20
"68655"	"68655"	20
"76041"	"76041"	20
"76520"	"76520"	20
"76892"	"76892"	20
"25402"	"25402"	21
"41551"	"41551"	21
"41615"	"41615"	21
"50006"	"50006"	21
"68081"	"68081"	21
"68755"	"68755"	21
"76147"	"76147"	21
"91001"	"91001"	21
"05591"	"05591"	22
"17877"	"17877"	22
"18247"	"18247"	22
"20710"	"20710"	22
"25878"	"25878"	22
"41548"	"41548"	22
"47258"	"47258"	22
"50313"	"50313"	22
"50680"	"50680"	22
"54003"	"54003"	22
"54239"	"54239"	22
"63470"	"63470"	22
"68147"	"68147"	22
"68689"	"68689"	22
"73411"	"73411"	22
"73547"	"73547"	22
"73675"	"73675"	22
"76020"	"76020"	22
"76111"	"76111"	22
"76823"	"76823"	22
"76895"	"76895"	22
"85325"	"85325"	22
"05120"	"05120"	23
"05172"	"05172"	23
"18410"	"18410"	23
"18610"	"18610"	23
"20045"	"20045"	23
"20228"	"20228"	23
"25123"	"25123"	23
"25258"	"25258"	23
"25743"	"25743"	23
"44078"	"44078"	23
"44090"	"44090"	23
"50226"	"50226"	23
"63594"	"63594"	23
"68679"	"68679"	23
"73352"	"73352"	23
"76109"	"76109"	23
"76130"	"76130"	23
"76364"	"76364"	23
"76869"	"76869"	23
"76890"	"76890"	23
"81300"	"81300"	23
"86320"	"86320"	23
"05042"	"05042"	24
"05490"	"05490"	24
"18753"	"18753"	24
"19698"	"19698"	24
"20443"	"20443"	24
"25645"	"25645"	24
"41013"	"41013"	24
"41396"	"41396"	24
"41676"	"41676"	24
"41770"	"41770"	24
"41807"	"41807"	24
"50683"	"50683"	24
"68307"	"68307"	24
"73236"	"73236"	24
"73270"	"73270"	24
"73624"	"73624"	24
"76036"	"76036"	24
"76233"	"76233"	24
"76275"	"76275"	24
"76306"	"76306"	24
"76400"	"76400"	24
"76563"	"76563"	24
"05761"	"05761"	25
"17444"	"17444"	25
"25438"	"25438"	25
"25530"	"25530"	25
"41026"	"41026"	25
"50150"	"50150"	25
"50590"	"50590"	25
"68255"	"68255"	25
"68615"	"68615"	25
"76122"	"76122"	25
"76248"	"76248"	25
"76403"	"76403"	25
"81794"	"81794"	25
"85225"	"85225"	25
"85250"	"85250"	25
"85263"	"85263"	25
"05480"	"05480"	26
"05495"	"05495"	26
"05895"	"05895"	26
"50318"	"50318"	26
"54223"	"54223"	26
"54800"	"54800"	26
"76100"	"76100"	26
"76497"	"76497"	26
"86573"	"86573"	26
"99773"	"99773"	26
"50573"	"50573"	27
"50711"	"50711"	27
"63130"	"63130"	27
"76318"	"76318"	27
"25053"	"25053"	28
"50270"	"50270"	28
"68077"	"68077"	28
"68296"	"68296"	31
"85300"	"85300"	34
