"","disease","week","year","cases","admin2"
"1","CHIKV",23,2014,51,"23555"
"2","CHIKV",25,2014,2,"05045"
"3","CHIKV",30,2014,158,"25307"
"4","CHIKV",34,2014,1,"08001"
"5","CHIKV",34,2014,1,"99524"
"6","CHIKV",35,2014,1,"08001"
"7","CHIKV",36,2014,9,"08001"
"8","CHIKV",36,2014,16,"13836"
"9","CHIKV",37,2014,8,"08001"
"10","CHIKV",37,2014,45,"13001"
"11","CHIKV",37,2014,130,"13836"
"12","CHIKV",38,2014,1,"05001"
"13","CHIKV",38,2014,19,"08001"
"14","CHIKV",38,2014,2339,"13001"
"15","CHIKV",38,2014,3,"54001"
"16","CHIKV",38,2014,3,"91001"
"17","CHIKV",38,2014,1,"50110"
"18","CHIKV",38,2014,1,"05266"
"19","CHIKV",38,2014,774,"13657"
"20","CHIKV",38,2014,348,"13836"
"21","CHIKV",39,2014,1,"08001"
"22","CHIKV",39,2014,719,"13001"
"23","CHIKV",39,2014,1,"54001"
"24","CHIKV",39,2014,36,"08078"
"25","CHIKV",39,2014,14,"08137"
"26","CHIKV",39,2014,10,"70215"
"27","CHIKV",39,2014,6,"68276"
"28","CHIKV",39,2014,1,"15322"
"29","CHIKV",39,2014,5,"08433"
"30","CHIKV",39,2014,2,"08634"
"31","CHIKV",39,2014,9,"08638"
"32","CHIKV",39,2014,344,"13657"
"33","CHIKV",39,2014,9,"08675"
"34","CHIKV",39,2014,1,"13683"
"35","CHIKV",39,2014,4,"08685"
"36","CHIKV",39,2014,55,"08758"
"37","CHIKV",39,2014,6,"08770"
"38","CHIKV",39,2014,288,"13836"
"39","CHIKV",40,2014,148,"08001"
"40","CHIKV",40,2014,572,"13001"
"41","CHIKV",40,2014,1,"47001"
"42","CHIKV",40,2014,2,"54001"
"43","CHIKV",40,2014,89,"13052"
"44","CHIKV",40,2014,45,"13062"
"45","CHIKV",40,2014,13,"13140"
"46","CHIKV",40,2014,1,"13212"
"47","CHIKV",40,2014,9,"70215"
"48","CHIKV",40,2014,17,"13222"
"49","CHIKV",40,2014,258,"13244"
"50","CHIKV",40,2014,7,"13248"
"51","CHIKV",40,2014,1,"25307"
"52","CHIKV",40,2014,60,"13430"
"53","CHIKV",40,2014,723,"13433"
"54","CHIKV",40,2014,101,"13442"
"55","CHIKV",40,2014,66,"70508"
"56","CHIKV",40,2014,2,"08560"
"57","CHIKV",40,2014,1,"25572"
"58","CHIKV",40,2014,24,"13647"
"59","CHIKV",40,2014,1398,"13654"
"60","CHIKV",40,2014,379,"13657"
"61","CHIKV",40,2014,1,"23660"
"62","CHIKV",40,2014,12,"19698"
"63","CHIKV",40,2014,11,"70742"
"64","CHIKV",40,2014,3,"08770"
"65","CHIKV",40,2014,592,"13836"
"66","CHIKV",41,2014,41,"08001"
"67","CHIKV",41,2014,240,"13001"
"68","CHIKV",41,2014,1,"23001"
"69","CHIKV",41,2014,4,"54001"
"70","CHIKV",41,2014,1,"76001"
"71","CHIKV",41,2014,4,"86001"
"72","CHIKV",41,2014,1,"70110"
"73","CHIKV",41,2014,1,"73168"
"74","CHIKV",41,2014,3,"44430"
"75","CHIKV",41,2014,1,"25488"
"76","CHIKV",41,2014,39,"70508"
"77","CHIKV",41,2014,1,"86568"
"78","CHIKV",41,2014,1735,"13657"
"79","CHIKV",41,2014,8,"13673"
"80","CHIKV",41,2014,1,"68679"
"81","CHIKV",41,2014,39,"13683"
"82","CHIKV",41,2014,1,"70823"
"83","CHIKV",41,2014,2208,"13836"
"84","CHIKV",41,2014,56,"13838"
"85","CHIKV",42,2014,36,"08001"
"86","CHIKV",42,2014,2566,"13001"
"87","CHIKV",42,2014,39,"23001"
"88","CHIKV",42,2014,5,"47001"
"89","CHIKV",42,2014,4,"54001"
"90","CHIKV",42,2014,3,"68001"
"91","CHIKV",42,2014,24,"70001"
"92","CHIKV",42,2014,1,"85001"
"93","CHIKV",42,2014,1,"95001"
"94","CHIKV",42,2014,1,"05101"
"95","CHIKV",42,2014,5,"23162"
"96","CHIKV",42,2014,1,"15172"
"97","CHIKV",42,2014,5,"17174"
"98","CHIKV",42,2014,5,"70215"
"99","CHIKV",42,2014,23,"70221"
"100","CHIKV",42,2014,49,"20238"
"101","CHIKV",42,2014,1,"15248"
"102","CHIKV",42,2014,5,"70418"
"103","CHIKV",42,2014,1,"85440"
"104","CHIKV",42,2014,6,"23466"
"105","CHIKV",42,2014,15,"23500"
"106","CHIKV",42,2014,21,"70508"
"107","CHIKV",42,2014,119,"70523"
"108","CHIKV",42,2014,1,"19548"
"109","CHIKV",42,2014,3,"47555"
"110","CHIKV",42,2014,1,"17614"
"111","CHIKV",42,2014,167,"13657"
"112","CHIKV",42,2014,6,"15667"
"113","CHIKV",42,2014,97,"70742"
"114","CHIKV",42,2014,1,"19743"
"115","CHIKV",42,2014,15,"70823"
"116","CHIKV",42,2014,525,"13836"
"117","CHIKV",43,2014,19,"08001"
"118","CHIKV",43,2014,9,"13001"
"119","CHIKV",43,2014,1,"23001"
"120","CHIKV",43,2014,8,"41001"
"121","CHIKV",43,2014,18,"44001"
"122","CHIKV",43,2014,16,"47001"
"123","CHIKV",43,2014,240,"54001"
"124","CHIKV",43,2014,127,"70001"
"125","CHIKV",43,2014,1,"73001"
"126","CHIKV",43,2014,1,"76001"
"127","CHIKV",43,2014,9,"86001"
"128","CHIKV",43,2014,3,"13006"
"129","CHIKV",43,2014,3,"44035"
"130","CHIKV",43,2014,1,"41078"
"131","CHIKV",43,2014,7,"44078"
"132","CHIKV",43,2014,4,"68081"
"133","CHIKV",43,2014,3,"44098"
"134","CHIKV",43,2014,5,"70110"
"135","CHIKV",43,2014,11,"70215"
"136","CHIKV",43,2014,6,"47245"
"137","CHIKV",43,2014,5,"25307"
"138","CHIKV",43,2014,1,"50318"
"139","CHIKV",43,2014,1,"19397"
"140","CHIKV",43,2014,10,"70418"
"141","CHIKV",43,2014,29,"44430"
"142","CHIKV",43,2014,1,"85440"
"143","CHIKV",43,2014,27,"70508"
"144","CHIKV",43,2014,148,"70523"
"145","CHIKV",43,2014,1,"68547"
"146","CHIKV",43,2014,1,"41551"
"147","CHIKV",43,2014,30,"47555"
"148","CHIKV",43,2014,1,"23580"
"149","CHIKV",43,2014,6,"44650"
"150","CHIKV",43,2014,45,"13657"
"151","CHIKV",43,2014,18,"23660"
"152","CHIKV",43,2014,10,"70670"
"153","CHIKV",43,2014,7,"23672"
"154","CHIKV",43,2014,1,"23675"
"155","CHIKV",43,2014,6,"70742"
"156","CHIKV",43,2014,3,"47798"
"157","CHIKV",43,2014,3,"23807"
"158","CHIKV",43,2014,36,"25815"
"159","CHIKV",43,2014,10,"70820"
"160","CHIKV",43,2014,7,"70823"
"161","CHIKV",43,2014,1,"52835"
"162","CHIKV",43,2014,675,"13836"
"163","CHIKV",43,2014,13,"44847"
"164","CHIKV",44,2014,33,"08001"
"165","CHIKV",44,2014,56,"13001"
"166","CHIKV",44,2014,6,"44001"
"167","CHIKV",44,2014,36,"47001"
"168","CHIKV",44,2014,17,"50001"
"169","CHIKV",44,2014,607,"54001"
"170","CHIKV",44,2014,1,"66001"
"171","CHIKV",44,2014,6,"68001"
"172","CHIKV",44,2014,262,"70001"
"173","CHIKV",44,2014,1,"73001"
"174","CHIKV",44,2014,1,"81001"
"175","CHIKV",44,2014,1,"85001"
"176","CHIKV",44,2014,1,"86001"
"177","CHIKV",44,2014,9,"88001"
"178","CHIKV",44,2014,3,"44035"
"179","CHIKV",44,2014,3,"68081"
