"","disease","week","year","cases","admin2"
"1","ZIKV",32,2015,23,"54001"
"2","ZIKV",32,2015,1,"76001"
"3","ZIKV",32,2015,1,"88001"
"4","ZIKV",32,2015,1,"54261"
"5","ZIKV",32,2015,3,"54553"
"6","ZIKV",33,2015,18,"54001"
"7","ZIKV",33,2015,1,"86001"
"8","ZIKV",33,2015,1,"85010"
"9","ZIKV",33,2015,1,"54261"
"10","ZIKV",33,2015,1,"54498"
"11","ZIKV",33,2015,1,"54518"
"12","ZIKV",34,2015,4,"54001"
"13","ZIKV",34,2015,1,"86001"
"14","ZIKV",34,2015,6,"54261"
"15","ZIKV",34,2015,1,"85410"
"16","ZIKV",34,2015,1,"19450"
"17","ZIKV",34,2015,1,"54874"
"18","ZIKV",35,2015,2,"54001"
"19","ZIKV",35,2015,1,"85162"
"20","ZIKV",35,2015,1,"54553"
"21","ZIKV",35,2015,1,"86568"
"22","ZIKV",35,2015,1,"41791"
"23","ZIKV",35,2015,1,"52835"
"24","ZIKV",36,2015,2,"08001"
"25","ZIKV",36,2015,1,"13001"
"26","ZIKV",36,2015,1,"23001"
"27","ZIKV",36,2015,2,"54001"
"28","ZIKV",36,2015,3,"70001"
"29","ZIKV",36,2015,1,"88001"
"30","ZIKV",36,2015,1,"05088"
"31","ZIKV",36,2015,1,"41319"
"32","ZIKV",37,2015,3,"05001"
"33","ZIKV",37,2015,1,"08001"
"34","ZIKV",37,2015,3,"13001"
"35","ZIKV",37,2015,1,"54001"
"36","ZIKV",37,2015,1,"70001"
"37","ZIKV",37,2015,4,"88001"
"38","ZIKV",37,2015,2,"05088"
"39","ZIKV",37,2015,3,"15480"
"40","ZIKV",37,2015,1,"54553"
"41","ZIKV",37,2015,1,"70820"
"42","ZIKV",37,2015,2,"13836"
"43","ZIKV",37,2015,1,"15842"
"44","ZIKV",38,2015,10,"05001"
"45","ZIKV",38,2015,8,"13001"
"46","ZIKV",38,2015,1,"70001"
"47","ZIKV",38,2015,3,"88001"
"48","ZIKV",38,2015,2,"05154"
"49","ZIKV",38,2015,1,"05250"
"50","ZIKV",38,2015,1,"05360"
"51","ZIKV",38,2015,1,"18479"
"52","ZIKV",38,2015,1,"15480"
"53","ZIKV",38,2015,1,"15507"
"54","ZIKV",38,2015,1,"15514"
"55","ZIKV",38,2015,1,"13836"
"56","ZIKV",38,2015,1,"41885"
"57","ZIKV",39,2015,7,"05001"
"58","ZIKV",39,2015,3,"08001"
"59","ZIKV",39,2015,1,"13001"
"60","ZIKV",39,2015,1,"23001"
"61","ZIKV",39,2015,1,"50001"
"62","ZIKV",39,2015,1,"54001"
"63","ZIKV",39,2015,2,"70001"
"64","ZIKV",39,2015,1,"81001"
"65","ZIKV",39,2015,2,"86001"
"66","ZIKV",39,2015,14,"88001"
"67","ZIKV",39,2015,1,"15185"
"68","ZIKV",39,2015,1,"05197"
"69","ZIKV",39,2015,1,"54261"
"70","ZIKV",39,2015,1,"15480"
"71","ZIKV",39,2015,1,"15518"
"72","ZIKV",39,2015,5,"15572"
"73","ZIKV",39,2015,63,"13836"
"74","ZIKV",39,2015,2,"13873"
"75","ZIKV",40,2015,2,"05001"
"76","ZIKV",40,2015,4,"08001"
"77","ZIKV",40,2015,3,"13001"
"78","ZIKV",40,2015,1,"44001"
"79","ZIKV",40,2015,3,"70001"
"80","ZIKV",40,2015,2,"86001"
"81","ZIKV",40,2015,42,"88001"
"82","ZIKV",40,2015,2,"05088"
"83","ZIKV",40,2015,2,"05101"
"84","ZIKV",40,2015,1,"05129"
"85","ZIKV",40,2015,1,"15185"
"86","ZIKV",40,2015,1,"73349"
"87","ZIKV",40,2015,1,"13433"
"88","ZIKV",40,2015,1,"47551"
"89","ZIKV",40,2015,3,"15572"
"90","ZIKV",40,2015,1,"15667"
"91","ZIKV",40,2015,1,"15681"
"92","ZIKV",40,2015,1,"05790"
"93","ZIKV",40,2015,2,"70823"
"94","ZIKV",40,2015,20,"13836"
"95","ZIKV",40,2015,2,"13873"
"96","ZIKV",41,2015,2,"05001"
"97","ZIKV",41,2015,8,"08001"
"98","ZIKV",41,2015,12,"13001"
"99","ZIKV",41,2015,1,"44001"
